FID,codmun,codmundv,uf,nome_mun,ric01,ric02,ric03,ric04,ric05,ric06,ric07,ric08,ric09,ric10,ric11,ric12,ric13,ric14,ric15,ric16,ric17,ric18,ric19,ric20,ric21,ric22,ric23,ric24,ric25,ric26,ric27,ric28,ric29,ric30,ric31,ric32,ric33,ric34,ric35,ric36,ric37,ric38,ric39,ric40,ric41,ric42,ric43,ric44,ric45,ric46,ric47,ric48,ric49,ric50,ric51,ric52,ric53,ric54,ric55,ric56,ric57,ric58,ric59,ric60,ric61,ric62,ric63,ric64,ric65,ric66,ric67,ric68,ric69,ric70,ric71,ric72,ric73,ric74,ric75,the_geom
HierarquiaUrbana_Regic2007.429,412125,4121257,PR,Ramilândia,4147,237.195,21894.537,9082.445,1512.025,10261.5,5107.885,1038.567,5,Centro Local,,,Município Subordinado,0,,0,0,0,12,16.666667,6,13,8.227848,6,25,10.869565,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,7,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,não,POINT (-54.02551783990094 -25.1204719202414)
HierarquiaUrbana_Regic2007.430,431849,4318499,RS,São José do Inhacorá,2132,77.806,16318.395,6639.034,1361.468,7686.613,4232.983,631.28,5,Centro Local,,,Município Subordinado,0,,0,0,0,17,23.611111,6,10,6.329114,6,27,11.73913,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,3,14.071295,11,6,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,não,POINT (-54.12953039544616 -27.725479766747934)
HierarquiaUrbana_Regic2007.431,412740,4127403,PR,Terra Roxa,16208,800.786,168295.947,42150.741,17113.717,94194.278,17655.368,14837.211,5,Centro Local,,,Município Subordinado,0,,0,0,0,44,61.111111,4,52,32.911392,5,96,41.73913,5,3,3,46196,7,1,0,1,0,1,0,0,0,0,0,0,0,0,,,0,0,0,8,4.935834,0,7,0,0,0,0,,0,,0,,0,,0,,0,,0,,3,f,3,f,sim,POINT (-54.097514412781884 -24.157468383699676)
HierarquiaUrbana_Regic2007.432,430220,4302204,RS,Boa Vista do Buricá,6468,108.732,59619.229,12612.273,9849.575,32077.151,9781.509,5080.23,4B,Centro de Zona B,,,Município Subordinado,0,,0,0,0,38,52.777778,4,30,18.987342,5,68,29.565217,6,2,1,13041,8,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,19,29.375387,11,6,0,0,7,1,f,2,f,0,,1,f,1,f,2,f,0,,4,f,2,f,sim,POINT (-54.11052998144736 -27.669479672600694)
HierarquiaUrbana_Regic2007.433,430500,4305009,RS,Catuípe,9499,583.24,73487.68,17358.27,5984.971,44819.888,14353.329,5324.551,5,Centro Local,,,Município Subordinado,0,,0,0,0,38,52.777778,4,31,19.620253,5,69,30,6,2,1,31330,8,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,1.052742,0,7,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,sim,POINT (-54.012532083972495 -28.250481758457774)
HierarquiaUrbana_Regic2007.434,410050,4100509,PR,Altônia,19904,661.558,100030.787,19050.686,13006.034,61346.132,22780.404,6627.935,5,Centro Local,,,Município Subordinado,0,,0,0,0,38,52.777778,4,43,27.21519,5,81,35.217391,5,3,3,15318,7,1,1,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,10,5.024116,0,7,0,0,0,1,f,2,f,0,,2,f,2,f,0,,0,,2,f,2,f,sim,POINT (-53.9025118605119 -23.874468042447184)
HierarquiaUrbana_Regic2007.435,430045,4300455,RS,Alegria,4789,172.686,25921.254,7278.88,1937.264,15383.283,7225.251,1321.827,5,Centro Local,,,Município Subordinado,0,,0,0,0,21,29.166667,5,23,14.556962,5,44,19.130435,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,7,0,0,0,1,f,0,,0,,1,f,0,,0,,0,,1,f,1,f,não,POINT (-54.0575303467522 -27.82748034435154)
HierarquiaUrbana_Regic2007.436,412635,4126355,PR,Serranópolis do Iguaçu,4327,483.658,52875.553,20215.536,3098.902,25698.589,7998.072,3862.526,5,Centro Local,,,Município Subordinado,0,,0,0,0,19,26.388889,6,21,13.291139,5,40,17.391304,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,3,6.93321,0,7,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,não,POINT (-54.05251914358142 -25.38047269176547)
HierarquiaUrbana_Regic2007.437,430587,4305871,RS,Coronel Barros,2441,162.949,20700.974,5655.304,2260.773,11364.979,4702.765,1419.918,5,Centro Local,,,Município Subordinado,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,7,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,sim,POINT (-54.066533156130106 -28.38348193216568)
HierarquiaUrbana_Regic2007.438,500085,5000856,MS,Angélica,7253,1273.199,44541.557,15747.986,2664.624,22647.582,10402.338,3481.365,5,Centro Local,,,Município Subordinado,0,,0,0,0,22,30.555556,5,19,12.025316,5,41,17.826087,6,2,2,17616,8,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,1.37874,11,6,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,sim,POINT (-53.77150445790729 -22.15346213746046)
