no_cidade,nome_da_nidade,gid,valor,taxa
"Itapuranga","Itapuranga","7561","5","5"
"Guaporé","Guaporé","9460","2","2"
"Conselheiro Pena","Conselheiro Pena","10414","0","0"
"Bom Progresso","Bom Progresso","9322","0","0"
"Chavantes","Chavantes","8914","0","0"
"Bom Jesus do Galho","Bom Jesus do Galho","10294","0","0"
"São Francisco","São Francisco","8818","1","1"
"Alto Horizonte","Alto Horizonte","7450","0","0"
"Mirabela","Mirabela","10696","2","2"
"Roca Sales","Roca Sales","9618","1","1"
"Prata","Prata","10828","2","2"
"Paracatu","Paracatu","10761","6","6"
"Nova Brasilândia D'Oeste","Nova Brasilândia D'Oeste","6831","3","3"
"Jaguarari","Jaguarari","7971","2","2"
"Queluzito","Queluzito","10838","0","0"
"Galvão","Galvão","6225","1","1"
"Mundo Novo","Mundo Novo","9820","0","0"
"Baía da Traição","Baía da Traição","6614","0","0"
"Regeneração","Regeneração","7061","2","2"
"Guarará","Guarará","10535","0","0"
"Guarani d'Oeste","Guarani d'Oeste","8475","0","0"
"São Simão","São Simão","8839","0","0"
"Forquilha","Forquilha","7173","5","5"
"Arapiraca","Arapiraca","10035","11","11"
"Aracitaba","Aracitaba","10247","0","0"
"Dois Vizinhos","Dois Vizinhos","5832","3","3"
"Barroquinha","Barroquinha","7141","3","3"
"Tenente Portela","Tenente Portela","9717","1","1"
"São Miguel dos Milagres","São Miguel dos Milagres","10125","2","2"
"Taboão da Serra","Taboão da Serra","8859","2","2"
"Panelas","Panelas","9964","3","3"
"Boa Hora","Boa Hora","6920","0","0"
"Faria Lemos","Faria Lemos","10493","0","0"
"Itaóca","Itaóca","8524","0","0"
"Muliterno","Muliterno","9538","0","0"
"Jaboatão dos Guararapes","Jaboatão dos Guararapes","9935","27","27"
"Pedreira","Pedreira","8688","1","1"
"Paraíso","Paraíso","6318","0","0"
"Ipaumirim","Ipaumirim","7195","2","2"
"Alta Floresta","Alta Floresta","7302","7","7"
"Santo Augusto","Santo Augusto","9650","3","3"
"Tapurah","Tapurah","7428","3","3"
"Mirassolândia","Mirassolândia","8612","0","0"
"São Francisco de Assis","São Francisco de Assis","9655","1","1"
"Caucaia","Caucaia","7159","14","14"
"Serra de São Bento","Serra de São Bento","6572","1","1"
"São Pedro do Suaçuí","São Pedro do Suaçuí","10963","1","1"
"Santa Luz","Santa Luz","7069","1","1"
"Mormaço","Mormaço","9531","2","2"
"Aracoiaba","Aracoiaba","7129","5","5"
"Contendas do Sincorá","Contendas do Sincorá","7868","1","1"
"Porto Ferreira","Porto Ferreira","8725","4","4"
"Santa Cecília do Pavão","Santa Cecília do Pavão","6053","0","0"
"Alto Piquiri","Alto Piquiri","5741","0","0"
"Santa Inês","Santa Inês","6057","1","1"
"Itaparica","Itaparica","7952","2","2"
"Praia Norte","Praia Norte","9020","1","1"
"Itapecerica da Serra","Itapecerica da Serra","8525","1","1"
"Miranda","Miranda","9819","1","1"
"Pio IX","Pio IX","7053","4","4"
"São Vicente","São Vicente","6569","1","1"
"Paripiranga","Paripiranga","8053","0","0"
"Itapetininga","Itapetininga","8526","6","6"
"Igaracy","Igaracy","6630","2","2"
"Cristina","Cristina","10437","0","0"
"Ibiaí","Ibiaí","10546","1","1"
"Itupeva","Itupeva","8544","2","2"
"Wanderlândia","Wanderlândia","9053","1","1"
"Indianópolis","Indianópolis","5882","0","0"
"Canela","Canela","9349","2","2"
"Delta","Delta","10447","1","1"
"Itaju","Itaju","8522","0","0"
"Senador Alexandre Costa","Senador Alexandre Costa","9250","1","1"
"Paulino Neves","Paulino Neves","9190","0","0"
"Mandirituba","Mandirituba","5932","1","1"
"Brejo Grande do Araguaia","Brejo Grande do Araguaia","5599","3","3"
"Tapiramutá","Tapiramutá","8148","0","0"
"Poço de José de Moura","Poço de José de Moura","6744","1","1"
"Abdon Batista","Abdon Batista","6133","1","1"
"Iguaracy","Iguaracy","9923","2","2"
"São Gotardo","São Gotardo","10935","4","4"
"Esperantinópolis","Esperantinópolis","9122","2","2"
"Santo Antônio de Pádua","Santo Antônio de Pádua","8248","10","10"
"Natividade da Serra","Natividade da Serra","8633","0","0"
"Davinópolis","Davinópolis","7518","1","1"
"São Tiago","São Tiago","10974","0","0"
"Serafina Corrêa","Serafina Corrêa","9699","3","3"
"Porto Vera Cruz","Porto Vera Cruz","9600","0","0"
"Araguacema","Araguacema","8925","1","1"
"Barcelona","Barcelona","6443","1","1"
"Diamante do Sul","Diamante do Sul","5830","1","1"
"Santo Antônio do Tauá","Santo Antônio do Tauá","5689","5","5"
"Santa Terezinha","Santa Terezinha","6365","1","1"
"Balneário Arroio do Silva","Balneário Arroio do Silva","6158","1","1"
"Alto Paraguai","Alto Paraguai","7306","2","2"
"São João das Duas Pontes","São João das Duas Pontes","8820","0","0"
"Salinas","Salinas","10873","3","3"
"Terra Boa","Terra Boa","6107","3","3"
"Machadinho","Machadinho","9509","0","0"
"Porto Esperidião","Porto Esperidião","7396","1","1"
"Maracaçumé","Maracaçumé","9164","2","2"
"Teolândia","Teolândia","8152","3","3"
"Unaí","Unaí","11037","0","0"
"Itaporã","Itaporã","9808","3","3"
"Santa Maria Madalena","Santa Maria Madalena","8247","0","0"
"Riozinho","Riozinho","9617","0","0"
"Imbé","Imbé","9475","0","0"
"Jacobina","Jacobina","7969","5","5"
"Valença","Valença","8166","2","2"
"São Cristóvão","São Cristóvão","7752","1","1"
"Santa Rita","Santa Rita","9221","9","9"
"Quiterianópolis","Quiterianópolis","7263","6","6"
"Nazaré Paulista","Nazaré Paulista","8634","0","0"
"Arame","Arame","9071","7","7"
"Ouro Verde de Goiás","Ouro Verde de Goiás","7610","1","1"
"São Miguel","São Miguel","6563","1","1"
"Tuparendi","Tuparendi","9740","2","2"
"Boquira","Boquira","7813","3","3"
"Guaçuí","Guaçuí","11092","1","1"
"Laje","Laje","7986","3","3"
"São Francisco de Sales","São Francisco de Sales","10926","0","0"
"Prudente de Morais","Prudente de Morais","10836","1","1"
"Rubiataba","Rubiataba","7639","2","2"
"Barra de Santa Rosa","Barra de Santa Rosa","6618","1","1"
"Conceição do Rio Verde","Conceição do Rio Verde","10405","1","1"
"Pinhais","Pinhais","5998","4","4"
"Mata Verde","Mata Verde","10680","0","0"
"Tombos","Tombos","11023","0","0"
"Floriano","Floriano","6974","2","2"
"Riachinho","Riachinho","10846","0","0"
"Bom Sucesso do Sul","Bom Sucesso do Sul","5776","0","0"
"Paulista","Paulista","9969","14","14"
"São João da Varjota","São João da Varjota","7084","1","1"
"Aguaí","Aguaí","8273","1","1"
"Getulina","Getulina","8465","1","1"
"Capinzal do Norte","Capinzal do Norte","9103","3","3"
"Rio Novo do Sul","Rio Novo do Sul","11125","1","1"
"Tomar do Geru","Tomar do Geru","7760","2","2"
"Itaiópolis","Itaiópolis","6257","5","5"
"Ponto Belo","Ponto Belo","11122","2","2"
"Pilar de Goiás","Pilar de Goiás","7622","0","0"
"Guaraciaba do Norte","Guaraciaba do Norte","7183","0","0"
"Guaporema","Guaporema","5865","1","1"
"Bueno Brandão","Bueno Brandão","10309","0","0"
"Progresso","Progresso","9604","0","0"
"Itaquitinga","Itaquitinga","9934","4","4"
"Landri Sales","Landri Sales","7009","1","1"
"São José de Mipibu","São José de Mipibu","6560","4","4"
"Pinhalzinho","Pinhalzinho","6328","1","1"
"Ipueiras","Ipueiras","7197","4","4"
"Coxim","Coxim","9796","2","2"
"Caraúbas","Caraúbas","6453","4","4"
"Dourado","Dourado","8429","1","1"
"Cajati","Cajati","8375","2","2"
"Iguatu","Iguatu","7192","6","6"
"São Sebastião do Caí","São Sebastião do Caí","9683","2","2"
"Nova Floresta","Nova Floresta","6722","1","1"
"Itaguaçu","Itaguaçu","11099","5","5"
"Macaubal","Macaubal","8587","1","1"
"Caseara","Caseara","8949","0","0"
"Felisburgo","Felisburgo","10496","1","1"
"Mafra","Mafra","6285","4","4"
"Livramento","Livramento","6700","2","2"
"Guapó","Guapó","7540","2","2"
"Guatambú","Guatambú","6236","0","0"
"Baixa Grande","Baixa Grande","7793","0","0"
"Brasiléia","Brasiléia","6872","7","7"
"Domingos Mourão","Domingos Mourão","6966","0","0"
"Dueré","Dueré","8963","0","0"
"Botuporã","Botuporã","7814","3","3"
"Esmeralda","Esmeralda","9424","0","0"
"Canavieira","Canavieira","6939","1","1"
"Bom Jesus do Araguaia","Bom Jesus do Araguaia","7317","2","2"
"Porto Franco","Porto Franco","9202","4","4"
"São José da Lagoa Tapada","São José da Lagoa Tapada","6779","2","2"
"Balneário Pinhal","Balneário Pinhal","9302","1","1"
"Campo Mourão","Campo Mourão","5794","6","6"
"Catanduvas","Catanduvas","5804","1","1"
"Barra Bonita","Barra Bonita","8330","2","2"
"Vigia","Vigia","5714","5","5"
"Ararendá","Ararendá","7130","3","3"
"São Félix de Minas","São Félix de Minas","10923","1","1"
"Irati","Irati","5886","3","3"
"São Sebastião do Uatumã","São Sebastião do Uatumã","10188","2","2"
"Manaquiri","Manaquiri","10171","2","2"
"Urucará","Urucará","10195","2","2"
"Barão","Barão","9303","1","1"
"Campestre","Campestre","10330","0","0"
"Rosário do Sul","Rosário do Sul","9625","0","0"
"Medeiros Neto","Medeiros Neto","8016","2","2"
"Passabém","Passabém","10766","1","1"
"Santa Salete","Santa Salete","8803","1","1"
"Eirunepé","Eirunepé","10156","2","2"
"Santana do Piauí","Santana do Piauí","7070","1","1"
"Jataúba","Jataúba","9937","1","1"
"Grão Pará","Grão Pará","6230","1","1"
"Almino Afonso","Almino Afonso","6433","1","1"
"Águas da Prata","Águas da Prata","8274","0","0"
"Palotina","Palotina","5983","3","3"
"Agudo","Agudo","9274","0","0"
"Goioxim","Goioxim","5859","2","2"
"Santa Mercedes","Santa Mercedes","8797","1","1"
"Poção de Pedras","Poção de Pedras","9201","1","1"
"São Miguel da Baixa Grande","São Miguel da Baixa Grande","7093","0","0"
"Congonhal","Congonhal","10409","0","0"
"Curuá","Curuá","5617","3","3"
"Barras","Barras","6911","4","4"
"Ibitiara","Ibitiara","7918","1","1"
"Ponto Novo","Ponto Novo","8071","2","2"
"Itapé","Itapé","7953","2","2"
"Catarina","Catarina","7157","6","6"
"Cunha Porã","Cunha Porã","6208","2","2"
"São João do Sul","São João do Sul","6379","1","1"
"Jeriquara","Jeriquara","8558","1","1"
"Guiricema","Guiricema","10540","1","1"
"Pedra do Indaiá","Pedra do Indaiá","10782","0","0"
"Moreira Sales","Moreira Sales","5957","2","2"
"Turiúba","Turiúba","8889","0","0"
"Dois Lajeados","Dois Lajeados","9405","0","0"
"São Francisco de Goiás","São Francisco de Goiás","7655","1","1"
"Alumínio","Alumínio","8284","0","0"
"Dona Eusébia","Dona Eusébia","10467","0","0"
"Monte Alegre do Sul","Monte Alegre do Sul","8620","0","0"
"Itaituba","Itaituba","5631","10","10"
"Novo Cabrais","Novo Cabrais","9557","0","0"
"Queiroz","Queiroz","8740","0","0"
"Macieira","Macieira","6284","0","0"
"Borrazópolis","Borrazópolis","5777","1","1"
"Ipiaçu","Ipiaçu","10569","0","0"
"Campo Novo do Parecis","Campo Novo do Parecis","7321","5","5"
"Ipameri","Ipameri","7551","3","3"
"Ubarana","Ubarana","8891","0","0"
"Lima Campos","Lima Campos","9160","6","6"
"Salvador","Salvador","8097","27","27"
"Nova Resende","Nova Resende","10735","1","1"
"Oeiras do Pará","Oeiras do Pará","5656","4","4"
"Abaré","Abaré","7763","5","5"
"Medianeira","Medianeira","5952","2","2"
"Santo Antônio do Jacinto","Santo Antônio do Jacinto","10913","0","0"
"Montezuma","Montezuma","10713","1","1"
"Pombal","Pombal","6745","8","8"
"Lapão","Lapão","7991","5","5"
"Formigueiro","Formigueiro","9442","0","0"
"Araguapaz","Araguapaz","7465","2","2"
"Porto Real do Colégio","Porto Real do Colégio","10113","1","1"
"Iguaí","Iguaí","7924","1","1"
"Itagi","Itagi","7941","1","1"
"Cordeirópolis","Cordeirópolis","8409","2","2"
"Santa Izabel do Pará","Santa Izabel do Pará","5682","8","8"
"Santa Rosa do Piauí","Santa Rosa do Piauí","7071","1","1"
"Cabo de Santo Agostinho","Cabo de Santo Agostinho","9878","7","7"
"Altinho","Altinho","9856","4","4"
"Cerejeiras","Cerejeiras","6822","1","1"
"Água Boa","Água Boa","10217","0","0"
"Pratápolis","Pratápolis","10829","1","1"
"Gandu","Gandu","7897","2","2"
"Governador Edison Lobão","Governador Edison Lobão","9132","2","2"
"Espigão D'Oeste","Espigão D'Oeste","6826","1","1"
"Santa Fé de Goiás","Santa Fé de Goiás","7643","1","1"
"Brejo da Madre de Deus","Brejo da Madre de Deus","9875","5","5"
"São José da Laje","São José da Laje","10121","2","2"
"Jumirim","Jumirim","8563","0","0"
"Condado","Condado","9898","1","1"
"Serrana","Serrana","8845","4","4"
"São João do Rio do Peixe","São João do Rio do Peixe","6603","1","1"
"Barra de Santo Antônio","Barra de Santo Antônio","10037","4","4"
"Congonhas do Norte","Congonhas do Norte","10411","0","0"
"Pompéu","Pompéu","10818","3","3"
"Candiba","Candiba","7841","1","1"
"Irajuba","Irajuba","7931","2","2"
"Cornélio Procópio","Cornélio Procópio","5818","3","3"
"Agronômica","Agronômica","6136","0","0"
"Cabeceiras do Piauí","Cabeceiras do Piauí","6930","3","3"
"São João do Sabugi","São João do Sabugi","6559","1","1"
"Tucunduva","Tucunduva","9735","0","0"
"Cruzeiro do Iguaçu","Cruzeiro do Iguaçu","5822","0","0"
"Rio Pardo","Rio Pardo","9616","1","1"
"Pesqueira","Pesqueira","9971","10","10"
"Argirita","Argirita","10259","0","0"
"São João do Caiuá","São João do Caiuá","6075","1","1"
"Patis","Patis","10771","2","2"
"Nova Monte Verde","Nova Monte Verde","7440","0","0"
"Lagoa dos Patos","Lagoa dos Patos","10638","1","1"
"Ananás","Ananás","8921","1","1"
"Carrasco Bonito","Carrasco Bonito","8948","2","2"
"Tauá","Tauá","7287","6","6"
"São Gonçalo do Pará","São Gonçalo do Pará","10932","1","1"
"Oliveira de Fátima","Oliveira de Fátima","9003","1","1"
"Sebastião Leal","Sebastião Leal","7099","2","2"
"Porto Alegre","Porto Alegre","9597","26","26"
"Diamantino","Diamantino","7340","2","2"
"Bom Jesus das Selvas","Bom Jesus das Selvas","9089","0","0"
"Milhã","Milhã","7227","2","2"
"Rio Grande","Rio Grande","9615","9","9"
"Bertolínia","Bertolínia","6918","0","0"
"João Pessoa","João Pessoa","6690","39","39"
"São Geraldo do Araguaia","São Geraldo do Araguaia","5695","0","0"
"São Gonçalo do Rio Abaixo","São Gonçalo do Rio Abaixo","10933","1","1"
"Ipecaetá","Ipecaetá","7927","0","0"
"Irupi","Irupi","11098","1","1"
"Aroeiras do Itaim","Aroeiras do Itaim","6905","0","0"
"Presidente Jânio Quadros","Presidente Jânio Quadros","8076","2","2"
"Santo Afonso","Santo Afonso","7407","0","0"
"Cariús","Cariús","7154","0","0"
"Adustina","Adustina","7765","1","1"
"Bom Jesus da Lapa","Bom Jesus da Lapa","7809","9","9"
"Matinhos","Matinhos","5949","4","4"
"Brejinho","Brejinho","6447","2","2"
"Mundo Novo","Mundo Novo","8028","0","0"
"Araraquara","Araraquara","8307","10","10"
"Tenório","Tenório","6811","1","1"
"Olho d'Água Grande","Olho d'Água Grande","10095","2","2"
"Rio Rufino","Rio Rufino","6353","0","0"
"São João de Pirabas","São João de Pirabas","5697","6","6"
"Nova Prata","Nova Prata","9553","4","4"
"Recursolândia","Recursolândia","9023","0","0"
"Canutama","Canutama","10150","1","1"
"Nova União","Nova União","10629","0","0"
"Padre Paraíso","Padre Paraíso","10753","3","3"
"Cachoeira Dourada","Cachoeira Dourada","7485","2","2"
"Veríssimo","Veríssimo","11052","0","0"
"Aricanduva","Aricanduva","10260","1","1"
"Diorama","Diorama","7519","0","0"
"Tasso Fragoso","Tasso Fragoso","9256","2","2"
"Angicos","Angicos","6435","2","2"
"São Gonçalo do Amarante","São Gonçalo do Amarante","6558","11","11"
"Caraúbas","Caraúbas","6648","1","1"
"Camanducaia","Camanducaia","10325","0","0"
"Barra do Guarita","Barra do Guarita","9307","0","0"
"Quitandinha","Quitandinha","6027","1","1"
"Triunfo Potiguar","Triunfo Potiguar","6587","1","1"
"Igarapé","Igarapé","10553","1","1"
"Minas Novas","Minas Novas","10694","1","1"
"Verdejante","Verdejante","10027","2","2"
"Nova Olímpia","Nova Olímpia","7378","2","2"
"Porto","Porto","7056","2","2"
"Água Branca","Água Branca","6894","1","1"
"Paraíso do Norte","Paraíso do Norte","5984","1","1"
"Capão da Canoa","Capão da Canoa","9354","7","7"
"Marquinho","Marquinho","5946","0","0"
"Balsa Nova","Balsa Nova","5761","0","0"
"Luiziana","Luiziana","5925","1","1"
"Aiquara","Aiquara","7768","0","0"
"Lagoa do Barro do Piauí","Lagoa do Barro do Piauí","7005","2","2"
"São Lourenço","São Lourenço","10959","1","1"
"Catolândia","Catolândia","7853","0","0"
"Dona Francisca","Dona Francisca","9409","0","0"
"Maria da Fé","Maria da Fé","10671","0","0"
"Poconé","Poconé","7390","5","5"
"Nova Marilândia","Nova Marilândia","7438","1","1"
"Caraí","Caraí","10353","3","3"
"Senador Pompeu","Senador Pompeu","7280","6","6"
"Dom Eliseu","Dom Eliseu","5619","7","7"
"Xexéu","Xexéu","10032","2","2"
"Colina","Colina","8405","0","0"
"Datas","Datas","10444","0","0"
"Amarante do Maranhão","Amarante do Maranhão","9065","3","3"
"Florestal","Florestal","10501","2","2"
"Itirapuã","Itirapuã","8541","2","2"
"Vilhena","Vilhena","6839","2","2"
"Iturama","Iturama","10600","3","3"
"Laranjal","Laranjal","5917","2","2"
"Icaraí de Minas","Icaraí de Minas","10552","0","0"
"Crixás","Crixás","7513","3","3"
"Quixeré","Quixeré","7267","1","1"
"Araci","Araci","7787","12","12"
"Ibarama","Ibarama","9467","0","0"
"Gameleiras","Gameleiras","10519","3","3"
"Abadiânia","Abadiânia","7442","1","1"
"Urupá","Urupá","6867","2","2"
"Machado","Machado","10661","3","3"
"Marechal Thaumaturgo","Marechal Thaumaturgo","6881","5","5"
"Volta Grande","Volta Grande","11063","0","0"
"Angelim","Angelim","9858","5","5"
"Itaeté","Itaeté","7940","3","3"
"Passira","Passira","9967","2","2"
"Pindaré-Mirim","Pindaré-Mirim","9197","4","4"
"Mairi","Mairi","8004","4","4"
"Bom Sucesso de Itararé","Bom Sucesso de Itararé","8351","1","1"
"Cerro Largo","Cerro Largo","9373","1","1"
"Antonina do Norte","Antonina do Norte","7125","2","2"
"Campestre","Campestre","10046","2","2"
"Relvado","Relvado","9612","0","0"
"Buritinópolis","Buritinópolis","7481","0","0"
"Nova Itaberaba","Nova Itaberaba","6303","0","0"
"Ji-Paraná","Ji-Paraná","6829","2","2"
"Fortim","Fortim","7175","1","1"
"Camocim de São Félix","Camocim de São Félix","9885","4","4"
"São João da Baliza","São João da Baliza","10209","3","3"
"Cândido de Abreu","Cândido de Abreu","5795","0","0"
"Santa Maria da Serra","Santa Maria da Serra","8796","1","1"
"Morro do Chapéu do Piauí","Morro do Chapéu do Piauí","7025","1","1"
"São José dos Ramos","São José dos Ramos","6782","1","1"
"Passo de Camaragibe","Passo de Camaragibe","10103","6","6"
"São José da Boa Vista","São José da Boa Vista","6081","1","1"
"Sagres","Sagres","8772","1","1"
"Tapiratiba","Tapiratiba","8867","0","0"
"Cromínia","Cromínia","7514","0","0"
"Araruama","Araruama","8181","12","12"
"Nossa Senhora das Graças","Nossa Senhora das Graças","5960","0","0"
"Palhoça","Palhoça","6313","8","8"
"Guaiúba","Guaiúba","7182","5","5"
"São Félix do Tocantins","São Félix do Tocantins","9037","0","0"
"Angelina","Angelina","6144","0","0"
"Cardoso","Cardoso","8393","1","1"
"Ponte Branca","Ponte Branca","7392","2","2"
"Colinas","Colinas","9382","0","0"
"Salgadinho","Salgadinho","6759","2","2"
"Nova Nazaré","Nova Nazaré","7372","0","0"
"Ilhota","Ilhota","6242","1","1"
"Sete Lagoas","Sete Lagoas","11001","3","3"
"Santa Brígida","Santa Brígida","8099","2","2"
"Turmalina","Turmalina","8890","0","0"
"Paranatinga","Paranatinga","7385","1","1"
"Goiandira","Goiandira","7533","0","0"
"Aracruz","Aracruz","11073","1","1"
"Guaiçara","Guaiçara","8467","0","0"
"Abaíra","Abaíra","7762","1","1"
"São José do Divino","São José do Divino","10955","0","0"
"Porangaba","Porangaba","8723","1","1"
"Divino das Laranjeiras","Divino das Laranjeiras","10456","1","1"
"Ciríaco","Ciríaco","9381","0","0"
"Sulina","Sulina","6100","0","0"
"Jussara","Jussara","7572","1","1"
"Sítio Novo","Sítio Novo","9253","6","6"
"Posse","Posse","7632","4","4"
"Tarumirim","Tarumirim","11014","3","3"
"São José da Bela Vista","São José da Bela Vista","8824","1","1"
"Itanhangá","Itanhangá","7351","1","1"
"Capão Bonito do Sul","Capão Bonito do Sul","9353","0","0"
"Estrela Velha","Estrela Velha","9431","0","0"
"Calçoene","Calçoene","5721","2","2"
"Praia Grande","Praia Grande","8730","7","7"
"São José do Cerrito","São José do Cerrito","6383","0","0"
"Ipanema","Ipanema","10567","2","2"
"Santa Clara do Sul","Santa Clara do Sul","9634","0","0"
"Bela Vista do Paraíso","Bela Vista do Paraíso","5767","0","0"
"Natércia","Natércia","10725","0","0"
"Patos de Minas","Patos de Minas","10772","9","9"
"Ipaussu","Ipaussu","8510","0","0"
"Palmeirina","Palmeirina","9963","2","2"
"Conceição da Aparecida","Conceição da Aparecida","10399","1","1"
"Terra Rica","Terra Rica","6108","1","1"
"Petrolândia","Petrolândia","6326","1","1"
"Santa Rosa de Lima","Santa Rosa de Lima","7750","1","1"
"Espinosa","Espinosa","10483","2","2"
"São Benedito","São Benedito","7276","5","5"
"São Joaquim","São Joaquim","6380","1","1"
"Brasnorte","Brasnorte","7318","1","1"
"Junqueiro","Junqueiro","10076","2","2"
"Virmond","Virmond","6130","0","0"
"Saubara","Saubara","8127","3","3"
"Nazaré da Mata","Nazaré da Mata","9957","3","3"
"São José das Palmeiras","São José das Palmeiras","6082","0","0"
"Nossa Senhora de Nazaré","Nossa Senhora de Nazaré","7029","2","2"
"Mucurici","Mucurici","11114","1","1"
"Humaitá","Humaitá","9466","0","0"
"Salvador das Missões","Salvador das Missões","9629","1","1"
"Santa Helena","Santa Helena","6763","1","1"
"Riachuelo","Riachuelo","7744","1","1"
"Morretes","Morretes","5958","0","0"
"Campestre da Serra","Campestre da Serra","9340","0","0"
"Passa Sete","Passa Sete","9574","1","1"
"Torre de Pedra","Torre de Pedra","8881","0","0"
"Coxilha","Coxilha","9392","1","1"
"Carmo da Mata","Carmo da Mata","10363","0","0"
"Palmas de Monte Alto","Palmas de Monte Alto","8049","5","5"
"Ruy Barbosa","Ruy Barbosa","8095","0","0"
"Fátima","Fátima","7890","3","3"
"Aurora do Tocantins","Aurora do Tocantins","8933","0","0"
"Arvoredo","Arvoredo","6154","0","0"
"Itapirapuã Paulista","Itapirapuã Paulista","8530","2","2"
"Taquaruçu do Sul","Taquaruçu do Sul","9715","0","0"
"Erechim","Erechim","9419","4","4"
"Portão","Portão","9596","1","1"
"Miguel Alves","Miguel Alves","7018","6","6"
"Santiago do Sul","Santiago do Sul","6367","0","0"
"Jundiaí do Sul","Jundiaí do Sul","5912","0","0"
"Onça de Pitangui","Onça de Pitangui","10745","1","1"
"Ibiporã","Ibiporã","5874","3","3"
"Itapagé","Itapagé","7202","3","3"
"Córrego Fundo","Córrego Fundo","10430","0","0"
"Novo Oriente de Minas","Novo Oriente de Minas","10738","0","0"
"Tupi Paulista","Tupi Paulista","8888","1","1"
"Campo Erê","Campo Erê","6188","2","2"
"Bom Jesus do Amparo","Bom Jesus do Amparo","10293","0","0"
"Pirenópolis","Pirenópolis","7625","4","4"
"Sirinhaém","Sirinhaém","10008","1","1"
"Tabapuã","Tabapuã","8857","1","1"
"Coxixola","Coxixola","6659","0","0"
"São José da Coroa Grande","São José da Coroa Grande","10000","4","4"
"Barra do Ribeiro","Barra do Ribeiro","9309","0","0"
"Livramento de Nossa Senhora","Livramento de Nossa Senhora","7995","3","3"
"Governador Newton Bello","Governador Newton Bello","9135","1","1"
"Serrinha dos Pintos","Serrinha dos Pintos","6576","2","2"
"Ribeirão do Pinhal","Ribeirão do Pinhal","6037","1","1"
"Taiaçu","Taiaçu","8862","1","1"
"São Leopoldo","São Leopoldo","9670","5","5"
"Comercinho","Comercinho","10398","0","0"
"Cristalândia","Cristalândia","8957","0","0"
"Quixelô","Quixelô","7265","5","5"
"Tenente Laurentino Cruz","Tenente Laurentino Cruz","6583","3","3"
"Pedra Preta","Pedra Preta","6532","1","1"
"Joviânia","Joviânia","7571","1","1"
"São João Batista do Glória","São João Batista do Glória","10936","0","0"
"Pirangi","Pirangi","8707","1","1"
"Entre-Ijuís","Entre-Ijuís","9416","1","1"
"Primeira Cruz","Primeira Cruz","9209","0","0"
"Frei Paulo","Frei Paulo","7707","2","2"
"Coaraci","Coaraci","7860","1","1"
"São Miguel da Boa Vista","São Miguel da Boa Vista","6387","0","0"
"Monte do Carmo","Monte do Carmo","8992","1","1"
"Pedro Gomes","Pedro Gomes","9829","1","1"
"Riacho da Cruz","Riacho da Cruz","6544","0","0"
"Jacarezinho","Jacarezinho","5900","4","4"
"Natuba","Natuba","6720","2","2"
"Itaguara","Itaguara","10577","0","0"
"Lamim","Lamim","10645","1","1"
"Vidal Ramos","Vidal Ramos","6419","2","2"
"Imbaú","Imbaú","5878","0","0"
"Porto Feliz","Porto Feliz","8724","1","1"
"Crisópolis","Crisópolis","7876","0","0"
"Tabaporã","Tabaporã","7426","2","2"
"Itapororoca","Itapororoca","6686","1","1"
"Serra Talhada","Serra Talhada","10005","18","18"
"Conceição do Tocantins","Conceição do Tocantins","8955","0","0"
"Raposa","Raposa","9210","2","2"
"São José dos Pinhais","São José dos Pinhais","6083","3","3"
"Cachoeira Grande","Cachoeira Grande","9097","2","2"
"São Pedro do Piauí","São Pedro do Piauí","7096","2","2"
"Açucena","Açucena","10216","1","1"
"Duque de Caxias","Duque de Caxias","8203","30","30"
"Várzea Grande","Várzea Grande","7112","3","3"
"Caxias do Sul","Caxias do Sul","9367","6","6"
"Paripueira","Paripueira","10102","1","1"
"Campina do Simão","Campina do Simão","5788","1","1"
"Matriz de Camaragibe","Matriz de Camaragibe","10087","3","3"
"Jucurutu","Jucurutu","6494","4","4"
"Bagé","Bagé","9301","4","4"
"Lagoa d'Anta","Lagoa d'Anta","6496","1","1"
"Ingaí","Ingaí","10562","0","0"
"Vitória","Vitória","11142","4","4"
"São José de Ribamar","São José de Ribamar","9238","14","14"
"São Gonçalo do Sapucaí","São Gonçalo do Sapucaí","10934","0","0"
"Jaíba","Jaíba","10607","2","2"
"Coronel Pacheco","Coronel Pacheco","10426","0","0"
"Antônio Dias","Antônio Dias","10244","1","1"
"Redenção da Serra","Redenção da Serra","8745","0","0"
"Ibirajuba","Ibirajuba","9921","4","4"
"Iracema","Iracema","10204","1","1"
"Águia Branca","Águia Branca","11066","1","1"
"Mangueirinha","Mangueirinha","5934","0","0"
"Jardim","Jardim","9813","2","2"
"Segredo","Segredo","9695","1","1"
"Santa Teresinha","Santa Teresinha","6770","1","1"
"Bugre","Bugre","10311","0","0"
"Umbaúba","Umbaúba","7761","3","3"
"Figueirão","Figueirão","9803","0","0"
"Ipeúna","Ipeúna","8512","0","0"
"Japaratuba","Japaratuba","7717","2","2"
"Nova Colinas","Nova Colinas","9179","0","0"
"Galinhos","Galinhos","6473","0","0"
"Orindiúva","Orindiúva","8656","0","0"
"Fernandópolis","Fernandópolis","8448","3","3"
"Nísia Floresta","Nísia Floresta","6517","2","2"
"Serra Redonda","Serra Redonda","6798","2","2"
"Concórdia","Concórdia","6201","4","4"
