no_cidade,nome_da_nidade,gid,valor,taxa
"Itabaianinha","Itabaianinha","7714","4","4"
"São Bento do Tocantins","São Bento do Tocantins","9036","2","2"
"Aracatu","Aracatu","7785","1","1"
"Santa Rosa de Lima","Santa Rosa de Lima","6363","1","1"
"Pedro de Toledo","Pedro de Toledo","8690","1","1"
"Castelândia","Castelândia","7498","1","1"
"Nova Mamoré","Nova Mamoré","6841","1","1"
"Sento Sé","Sento Sé","8133","4","4"
"Santa Bárbara","Santa Bárbara","8098","1","1"
"Alagoinha do Piauí","Alagoinha do Piauí","6895","3","3"
"Itaberá","Itaberá","8519","2","2"
"Alvorada","Alvorada","9283","3","3"
"Santa Bárbara","Santa Bárbara","10875","0","0"
"Santana do Riacho","Santana do Riacho","10899","0","0"
"Ipueira","Ipueira","6480","1","1"
"Maçambará","Maçambará","9510","0","0"
"Nacip Raydan","Nacip Raydan","10721","0","0"
"Manaíra","Manaíra","6706","1","1"
"Açu","Açu","6429","5","5"
"Estrela do Sul","Estrela do Sul","10488","0","0"
"Santa Helena","Santa Helena","9216","1","1"
"Passo de Torres","Passo de Torres","6319","1","1"
"Ibipeba","Ibipeba","7912","5","5"
"Rancho Alegre D'Oeste","Rancho Alegre D'Oeste","6030","1","1"
"Campinas do Sul","Campinas do Sul","9342","1","1"
"Bacabal","Bacabal","9074","2","2"
"Apodi","Apodi","6437","2","2"
"Carmo da Cachoeira","Carmo da Cachoeira","10362","0","0"
"Cajari","Cajari","9099","2","2"
"Presidente Kennedy","Presidente Kennedy","11123","0","0"
"Santa Albertina","Santa Albertina","8783","0","0"
"São Sebastião da Grama","São Sebastião da Grama","8838","1","1"
"Vila Maria","Vila Maria","9761","1","1"
"Colônia Leopoldina","Colônia Leopoldina","10054","5","5"
"Barra do Ouro","Barra do Ouro","8937","0","0"
"Boa Vista","Boa Vista","10199","21","21"
"Bom Jesus do Sul","Bom Jesus do Sul","5774","0","0"
"Nossa Senhora do Socorro","Nossa Senhora do Socorro","7733","8","8"
"Senador Georgino Avelino","Senador Georgino Avelino","6571","2","2"
"Porto Belo","Porto Belo","6336","3","3"
"Lamarão","Lamarão","7990","2","2"
"Araucária","Araucária","5755","2","2"
"Tarumã","Tarumã","8873","3","3"
"Ametista do Sul","Ametista do Sul","9285","0","0"
"Jerumenha","Jerumenha","6995","0","0"
"Laranjal Paulista","Laranjal Paulista","8569","4","4"
"Delfim Moreira","Delfim Moreira","10445","1","1"
"Uarini","Uarini","10194","2","2"
"Divino","Divino","10455","1","1"
"Guabiju","Guabiju","9458","0","0"
"Figueira","Figueira","5845","1","1"
"Arroio do Padre","Arroio do Padre","9294","0","0"
"Esteio","Esteio","9429","3","3"
"Coroatá","Coroatá","9117","2","2"
"Arinos","Arinos","10261","2","2"
"Inaciolândia","Inaciolândia","7548","0","0"
"Canhoba","Canhoba","7696","2","2"
"Braço do Trombudo","Braço do Trombudo","6178","2","2"
"Aimorés","Aimorés","10222","3","3"
"Mirador","Mirador","9172","4","4"
"Ouro Fino","Ouro Fino","10749","1","1"
"Augusto Pestana","Augusto Pestana","9299","1","1"
"Ipanguaçu","Ipanguaçu","6479","1","1"
"Santanópolis","Santanópolis","8107","1","1"
"Nova Brasilândia","Nova Brasilândia","7375","1","1"
"Nova Londrina","Nova Londrina","5969","3","3"
"Água Nova","Água Nova","6431","1","1"
"Várzea da Roça","Várzea da Roça","8168","1","1"
"Poranga","Poranga","7259","2","2"
"Murici dos Portelas","Murici dos Portelas","7026","1","1"
"Brejo Santo","Brejo Santo","7146","4","4"
"Ibaté","Ibaté","8492","2","2"
"Lagoa da Canoa","Lagoa da Canoa","10077","1","1"
"Queimada Nova","Queimada Nova","7059","1","1"
"Monteiro Lobato","Monteiro Lobato","8625","0","0"
"Aparecida do Rio Doce","Aparecida do Rio Doce","7460","1","1"
"Santo Antônio de Jesus","Santo Antônio de Jesus","8111","12","12"
"Santa Mônica","Santa Mônica","6063","0","0"
"Centenário","Centenário","8950","1","1"
"Marilac","Marilac","10673","0","0"
"Passa Quatro","Passa Quatro","10767","0","0"
"Água Clara","Água Clara","9769","1","1"
"Terra Alta","Terra Alta","5705","2","2"
"Brejo do Piauí","Brejo do Piauí","6927","1","1"
"Guaribas","Guaribas","6983","0","0"
"Mirim Doce","Mirim Doce","6294","1","1"
"Lupionópolis","Lupionópolis","5927","0","0"
"Lagoa Grande do Maranhão","Lagoa Grande do Maranhão","9158","2","2"
"Alvinópolis","Alvinópolis","10236","0","0"
"Santana dos Montes","Santana dos Montes","10900","1","1"
"São José do Peixe","São José do Peixe","7088","1","1"
"Acorizal","Acorizal","7300","0","0"
"Vanini","Vanini","9750","1","1"
"Luislândia","Luislândia","10657","0","0"
"Castro","Castro","5803","2","2"
"Boa Ventura de São Roque","Boa Ventura de São Roque","5771","2","2"
"Jordânia","Jordânia","10625","1","1"
"Combinado","Combinado","8954","0","0"
"Osório","Osório","9563","1","1"
"Urandi","Urandi","8163","1","1"
"Acajutiba","Acajutiba","7764","0","0"
"Perdões","Perdões","10793","0","0"
"São João Batista","São João Batista","6377","2","2"
"Pacaembu","Pacaembu","8664","1","1"
"Campos Novos Paulista","Campos Novos Paulista","8382","1","1"
"Itaúba","Itaúba","7352","0","0"
"Mazagão","Mazagão","5727","3","3"
