"CMD_MIL_AREA","UF","MUNICIPIO","ENTIDADE","CURSO","LOCAL","INICIO","TERMINO","CARGA_HORARIA","EFETIVO_INICIAL","EFETIVO_FINAL","VALOR_HORA_AULA","VALOR_TOTAL",,
"CMP","DF","Brasília","SEST/SENAT","Condutores de Veículos de Emergência","SEST/SENAT",4-abr,15-abr,"50 ","20 ","20 ","R$ 0,00","R$ 0,00",,
"CMP","DF","Brasília","HMAB","Auxiliar em Saúde Bucal","HMAB",11-abr,4-ago,"492 ","71 ","69 ","R$ 0,00","R$ 0,00",,
"CMP","DF","Brasília","SEST/SENAT","Condutores de Veículos de Transporte Coletivo de Passageiros","SEST/SENAT",11-jul,15-jul,"40 ","20 ","17 ","R$ 5,00","R$ 4.000,00",,
"CMP","DF","Brasília","SEST/SENAT","Condutores de Veículos de Transporte Coletivo de Passageiros","SEST/SENAT",4-jul,8-jul,"40 ","20 ","20 ","R$ 0,00","R$ 0,00",,
"CMP","DF","Brasília","7º CTA","Montagem e Manutenção de Microcomputadores","7º CTA",13-jun,15-jul,"160 ","20 ","20 ","R$ 4,00","R$ 12.800,00",,
"CMP","DF","Brasília","SEST/SENAT","Condutores de Veículos de Transporte Coletivo de Passageiros","SEST/SENAT",27-jun,1-jul,"40 ","20 ","17 ","R$ 5,00","R$ 4.000,00",,
"CMP","DF","Brasília","SEST/SENAT","Condutores de Veículos de Transporte Coletivo de Passageiros","SEST/SENAT",24-out,28-out,"50 ","25 ","23 ","R$ 4,00","R$ 5.000,00",,
"CMP","DF","Brasília","SEST/SENAT","Condutores de Veículos de Transporte Coletivo de Passageiros","SEST/SENAT",7-nov,11-nov,"50 ","25 ","22 ","R$ 4,00","R$ 5.000,00",,
"CMP","DF","Brasília","HMAB","Auxiliar em Saúde Bucal","HMAB",8-ago,12-dez,"492 ","95 ","90 ","R$ 0,00","R$ 0,00",,
"CMP","DF","Brasília","SEST/SENAT","Condutores de Veículos de Emergência","SEST/SENAT",1-jul,5-jul,"50 ","25 ","21 ","R$ 4,00","R$ 5.000,00",,
"CMP","DF","Brasília","SENAI","Eletricista Instalador Predial","Taguatinga",12-set,17-out,"200 ","18 ","18 ","R$ 5,49","R$ 19.764,00",,
"CMP","DF","Brasília","SENAI","Eletricista de Automóveis","Taguatinga",12-set,7-out,"160 ","16 ","16 ","R$ 5,49","R$ 14.053,49",,
"CMP","DF","Brasília","SENAI","Padeiro","Taguatinga",12-set,7-out,"160 ","20 ","19 ","R$ 5,49","R$ 17.568,00",,
"CMP","DF","Brasília","SENAI","Cozinheiro","Taguatinga",31-out,30-nov,"160 ","20 ","19 ","R$ 5,49","R$ 17.568,00",,
"CMP","DF","Brasília","SENAI","Instalaçao e Manutenção de Aparelhos de Ar-Condicionado","Taguatinga",19-out,23-nov,"180 ","23 ","23 ","R$ 5,25","R$ 21.739,00",,
"CMP","DF","Brasília","SENAI","Web Designer","Taguatinga",5-out,3-nov,"160 ","22 ","22 ","R$ 5,49","R$ 19.324,80",,
"CMP","DF","Brasília","SENAI","Mecânica de Injeção Eletrônica Flex e Diesel Automotivo","Taguatinga",3-out,31-out,"160 ","20 ","19 ","R$ 5,49","R$ 17.568,00",,
"CMP","DF","Brasília","SENAI","Encanador e Instalador Predial","Taguatinga",26-out,25-nov,"160 ","25 ","22 ","R$ 5,49","R$ 21.960,00",,
"CMP","DF","Brasília","7º CTA","Montagem e Manutenção de Microcomputadores","7º CTA",17-out,22-nov,"160 ","20 ","21 ","R$ 4,00","R$ 12.800,00",,
"CMP","DF","Brasília","SEST/SENAT","Condutores de Veículos de Transporte Coletivo de Passageiros","SEST/SENAT",21-nov,25-nov,"50 ","25 ","24 ","R$ 4,00","R$ 5.000,00",,
"CMP","DF","Brasília","SENAI","Mecânico de Refrigeração","Taguatinga",17-out,16-nov,"160 ","18 ","18 ","R$ 0,00","R$ 0,00",,
"CMP","DF","Brasília","SENAI","Instalador Hidráulico Predial","Taguatinga",17-out,16-nov,"160 ","12 ","11 ","R$ 0,00","R$ 0,00",,
"CMP","DF","Brasília","SEST/SENAT","Movimentação Operacional de Produtos Perigosos(MOPP)","16° B Log",7-nov,11-nov,"50 ","45 ","45 ","R$ 0,00","R$ 0,00",,
"CMP","DF","Brasília","LUGER","Vigilante","LUGER",24-nov,22-dez,"200 ","45 ","43 ","R$ 3,49","R$ 31.410,00",,
"CMP","DF","Brasília","LUGER","Vigilante","LUGER",24-nov,22-nov,"200 ","45 ","45 ","R$ 3,49","R$ 31.410,00",,
"CMP","DF","Brasília","SENAC","Recepção em Serviço de Saúde","903 Sul",24-fev,15-mar,"60 ","14 ","14 ","R$ 0,00","R$ 0,00",,
"CMP","DF","Brasília","SENAC","Organizador de Eventos","Jessé Freire",14-mar,27-mai,"200 ","10 ","9 ","R$ 0,00","R$ 0,00",,
"CMP","DF","Brasília","SENAC","Boas Práticas na Manipulação de Alimentos","Jessé Freire",14-mar,18-mar,"20 ","15 ","15 ","R$ 0,00","R$ 0,00",,
"CMP","DF","Brasília","SENAC","Cortes de Carnes","Jessé Freire",28-mar,1-abr,"20 ","15 ","15 ","R$ 0,00","R$ 0,00",,
"CMP","DF","Brasília","SENAC","Técnicas para Cozinheiro","Jessé Freire",4-abr,8-abr,"20 ","10 ","10 ","R$ 0,00","R$ 0,00",,
"CMP","DF","Brasília","SENAC","Técnicas para Salgadeiro","Jessé Freire",11-abr,15-abr,"20 ","15 ","15 ","R$ 0,00","R$ 0,00",,
"CMP","DF","Brasília","SENAC","Editor Gráfico","Setor Comercial Sul",15-set,11-nov,"200 ","20 ","20 ","R$ 4,54","R$ 18.160,00",,
"CMP","DF","Brasília","SENAC","Garçon","CTTH",26-set,9-dez,"250 ","20 ","20 ","R$ 4,73","R$ 23.650,00",,
"CMP","DF","Brasília","SENAC","Salgadeiro","CTTH",26-set,24-nov,"200 ","17 ","17 ","R$ 5,50","R$ 18.700,00",,
"CMP","DF","Brasília","SENAC","Segurança na Manipulação de Alimentos","CTTH",28-nov,8-dez,"40 ","20 ","20 ","R$ 5,00","R$ 4.000,00",,
"CMP","DF","Brasília","SENAC","AutoCad 2D","Setor Comercial Sul",16-nov,2-dez,"60 ","21 ","21 ","R$ 4,50","R$ 5.400,00",,
"CML","ES","Vila Velha","Corpo de Bombeiros – ES","Bombeiro profissional cívil","38º BI",3-out,15-dez,238,30,30,"R$ 0,00","R$ 0,00",,
"CML","ES","Vila Velha","Corpo de Bombeiros – ES","Curso de Guarda Vidas","38º BI",21-nov,4-dez,101,28,28,"R$ 0,00","R$ 0,00",,
"CMP","GO","Goiânia","CAPACITAR","Auxiliar Administrativo","CAPACITAR",14-mar,20-abr,"160 ","16 ","16 ","R$ 0,00","R$ 0,00",,
"CMP","GO","Goiânia","CAPACITAR","Pintor de Obras","CAPACITAR",13-jun,28-jun,"80 ","17 ","17 ","R$ 0,00","R$ 0,00",,"1,2"
"CMP","GO","Goiânia","SENAI","Serralheiro","SENAI",18-jul,12-ago,"160 ","12 ","12 ","R$ 0,00","R$ 0,00",,
"CMP","GO","Goiânia","SENAI","Marceneiro","SENAI",5-set,10-out,"160 ","23 ","23 ","R$ 0,00","R$ 0,00",,
"CMP","GO","Goiânia","SENAI","Mecânico de Manutenção de Moto 125 cc","SENAI",25-out,1-dez,"160 ","23 ","23 ","R$ 0,00","R$ 0,00",,
"CMP","GO","Goiânia","SENAI","Salgadeiro","SENAI",7-nov,22-nov,"60 ","20 ","20 ","R$ 0,00","R$ 0,00",,
"CMN","MA","IMPERATRIZ","SEST/SENAT","Mecânica de Automóveis","SEST/SENAT",31-out,9-dez,"200 ","15 ","15 ","R$ 3,25","R$ 9.750,00",,
"CMN","MA","SÃO LUÍS","SENAI","Movimentação e Operação de Produtos Perigosos (MOPP)","24º BIL",15-ago,23-ago,"50 ","10 ","10 ","R$ 6,72","R$ 3.360,00",,
"CMN","MA","SÃO LUÍS","SENAI","Instalador Hidráulico","24º BIL",15-ago,25-out,"160 ","25 ","25 ","R$ 2,70","R$ 10.820,00",,
"CMN","MA","SÃO LUÍS","SENAI","Assistente Administrativo","24º BIL",12-set,11-out,"160 ","25 ","25 ","R$ 2,70","R$ 10.820,00",,
"CMN","MA","SÃO LUÍS","SENAI","Pedreiro de Alvenaria","24º BIL",7-nov,16-dez,"180 ","25 ","25 ","R$ 0,00","R$ 0,00",,
"CMN","MA","SÃO LUÍS","SENAC","Auxiliar de Garçom","24º BIL",15-ago,25-out,"160 ","25 ","25 ","R$ 2,93","R$ 9.630,00",,
"CML","MG","Belo Horizonte","SENAI","Motor e Introdução a Injeção Eletronica","SENAI",29-ago,28-set,75,1,1,"R$ 7,92","R$ 594,00",,
